Date, Time, Recording onset, Duration, Annotation, Linked channel
26-9月-1994, 23:27:30, 0, 630, Sleep stage W, 
26-9月-1994, 23:38:00, 630, 270, Sleep stage 1, 
26-9月-1994, 23:42:30, 900, 90, Sleep stage W, 
26-9月-1994, 23:44:00, 990, 210, Sleep stage 1, 
26-9月-1994, 23:47:30, 1200, 630, Sleep stage 2, 
26-9月-1994, 23:58:00, 1830, 240, Sleep stage 3, 
27-9月-1994, 00:02:00, 2070, 60, Sleep stage 2, 
27-9月-1994, 00:03:00, 2130, 30, Sleep stage 3, 
27-9月-1994, 00:03:30, 2160, 60, Sleep stage 2, 
27-9月-1994, 00:04:30, 2220, 360, Sleep stage 3, 
27-9月-1994, 00:10:30, 2580, 720, Sleep stage 4, 
27-9月-1994, 00:22:30, 3300, 30, Sleep stage 3, 
27-9月-1994, 00:23:00, 3330, 30, Sleep stage W, 
27-9月-1994, 00:23:30, 3360, 30, Sleep stage 1, 
27-9月-1994, 00:24:00, 3390, 30, Sleep stage W, 
27-9月-1994, 00:24:30, 3420, 30, Sleep stage 1, 
27-9月-1994, 00:25:00, 3450, 390, Sleep stage 2, 
27-9月-1994, 00:31:30, 3840, 90, Sleep stage 3, 
27-9月-1994, 00:33:00, 3930, 630, Sleep stage 4, 
27-9月-1994, 00:43:30, 4560, 30, Sleep stage 2, 
27-9月-1994, 00:44:00, 4590, 300, Sleep stage 3, 
27-9月-1994, 00:49:00, 4890, 120, Sleep stage 4, 
27-9月-1994, 00:51:00, 5010, 90, Sleep stage 2, 
27-9月-1994, 00:52:30, 5100, 30, Sleep stage 3, 
27-9月-1994, 00:53:00, 5130, 30, Sleep stage 2, 
27-9月-1994, 00:53:30, 5160, 30, Sleep stage 3, 
27-9月-1994, 00:54:00, 5190, 30, Sleep stage 2, 
27-9月-1994, 00:54:30, 5220, 150, Sleep stage 3, 
27-9月-1994, 00:57:00, 5370, 330, Sleep stage 4, 
27-9月-1994, 01:02:30, 5700, 90, Sleep stage 3, 
27-9月-1994, 01:04:00, 5790, 150, Sleep stage 2, 
27-9月-1994, 01:06:30, 5940, 540, Sleep stage R, 
27-9月-1994, 01:15:30, 6480, 30, Sleep stage W, 
27-9月-1994, 01:16:00, 6510, 30, Sleep stage 1, 
27-9月-1994, 01:16:30, 6540, 240, Sleep stage 2, 
27-9月-1994, 01:20:30, 6780, 30, Sleep stage W, 
27-9月-1994, 01:21:00, 6810, 30, Sleep stage 1, 
27-9月-1994, 01:21:30, 6840, 270, Sleep stage 2, 
27-9月-1994, 01:26:00, 7110, 330, Sleep stage 3, 
27-9月-1994, 01:31:30, 7440, 30, Sleep stage 2, 
27-9月-1994, 01:32:00, 7470, 30, Sleep stage W, 
27-9月-1994, 01:32:30, 7500, 120, Sleep stage 2, 
27-9月-1994, 01:34:30, 7620, 30, Sleep stage 1, 
27-9月-1994, 01:35:00, 7650, 180, Sleep stage 2, 
27-9月-1994, 01:38:00, 7830, 210, Sleep stage 3, 
27-9月-1994, 01:41:30, 8040, 2910, Sleep stage 4, 
27-9月-1994, 02:30:00, 10950, 60, Sleep stage W, 
27-9月-1994, 02:31:00, 11010, 60, Sleep stage 1, 
27-9月-1994, 02:32:00, 11070, 30, Sleep stage 2, 
27-9月-1994, 02:32:30, 11100, 30, Sleep stage W, 
27-9月-1994, 02:33:00, 11130, 30, Sleep stage 2, 
27-9月-1994, 02:33:30, 11160, 90, Sleep stage 1, 
27-9月-1994, 02:35:00, 11250, 150, Sleep stage 2, 
27-9月-1994, 02:37:30, 11400, 60, Sleep stage W, 
27-9月-1994, 02:38:30, 11460, 60, Sleep stage 2, 
27-9月-1994, 02:39:30, 11520, 30, Sleep stage 3, 
27-9月-1994, 02:40:00, 11550, 630, Sleep stage R, 
27-9月-1994, 02:50:30, 12180, 90, Sleep stage 1, 
27-9月-1994, 02:52:00, 12270, 240, Sleep stage R, 
27-9月-1994, 02:56:00, 12510, 60, Sleep stage 1, 
27-9月-1994, 02:57:00, 12570, 90, Sleep stage 2, 
27-9月-1994, 02:58:30, 12660, 30, Sleep stage 1, 
27-9月-1994, 02:59:00, 12690, 300, Sleep stage 2, 
27-9月-1994, 03:04:00, 12990, 60, Sleep stage 1, 
27-9月-1994, 03:05:00, 13050, 540, Sleep stage 2, 
27-9月-1994, 03:14:00, 13590, 30, Sleep stage W, 
27-9月-1994, 03:14:30, 13620, 390, Sleep stage 2, 
27-9月-1994, 03:21:00, 14010, 30, Sleep stage 3, 
27-9月-1994, 03:21:30, 14040, 30, Sleep stage 2, 
27-9月-1994, 03:22:00, 14070, 60, Sleep stage W, 
27-9月-1994, 03:23:00, 14130, 300, Sleep stage 2, 
27-9月-1994, 03:28:00, 14430, 30, Sleep stage 3, 
27-9月-1994, 03:28:30, 14460, 30, Sleep stage 2, 
27-9月-1994, 03:29:00, 14490, 60, Sleep stage 3, 
27-9月-1994, 03:30:00, 14550, 30, Sleep stage 2, 
27-9月-1994, 03:30:30, 14580, 60, Sleep stage 3, 
27-9月-1994, 03:31:30, 14640, 30, Sleep stage 2, 
27-9月-1994, 03:32:00, 14670, 30, Sleep stage 3, 
27-9月-1994, 03:32:30, 14700, 120, Sleep stage 2, 
27-9月-1994, 03:34:30, 14820, 30, Sleep stage 3, 
27-9月-1994, 03:35:00, 14850, 30, Sleep stage 2, 
27-9月-1994, 03:35:30, 14880, 30, Sleep stage W, 
27-9月-1994, 03:36:00, 14910, 30, Sleep stage 1, 
27-9月-1994, 03:36:30, 14940, 420, Sleep stage 2, 
27-9月-1994, 03:43:30, 15360, 1110, Sleep stage 3, 
27-9月-1994, 04:02:00, 16470, 30, Sleep stage R, 
27-9月-1994, 04:02:30, 16500, 30, Sleep stage W, 
27-9月-1994, 04:03:00, 16530, 30, Sleep stage 1, 
27-9月-1994, 04:03:30, 16560, 60, Sleep stage 2, 
27-9月-1994, 04:04:30, 16620, 1050, Sleep stage R, 
27-9月-1994, 04:22:00, 17670, 60, Sleep stage W, 
27-9月-1994, 04:23:00, 17730, 60, Sleep stage 1, 
27-9月-1994, 04:24:00, 17790, 60, Sleep stage W, 
27-9月-1994, 04:25:00, 17850, 120, Sleep stage 1, 
27-9月-1994, 04:27:00, 17970, 270, Sleep stage 2, 
27-9月-1994, 04:31:30, 18240, 60, Sleep stage 1, 
27-9月-1994, 04:32:30, 18300, 540, Sleep stage 2, 
27-9月-1994, 04:41:30, 18840, 60, Sleep stage W, 
27-9月-1994, 04:42:30, 18900, 750, Sleep stage 2, 
27-9月-1994, 04:55:00, 19650, 30, Sleep stage 3, 
27-9月-1994, 04:55:30, 19680, 120, Sleep stage 2, 
27-9月-1994, 04:57:30, 19800, 30, Sleep stage W, 
27-9月-1994, 04:58:00, 19830, 30, Sleep stage 2, 
27-9月-1994, 04:58:30, 19860, 30, Sleep stage 3, 
27-9月-1994, 04:59:00, 19890, 180, Sleep stage 2, 
27-9月-1994, 05:02:00, 20070, 60, Sleep stage 3, 
27-9月-1994, 05:03:00, 20130, 270, Sleep stage 2, 
27-9月-1994, 05:07:30, 20400, 780, Sleep stage R, 
27-9月-1994, 05:20:30, 21180, 60, Sleep stage 1, 
27-9月-1994, 05:21:30, 21240, 240, Sleep stage R, 
27-9月-1994, 05:25:30, 21480, 90, Sleep stage 1, 
27-9月-1994, 05:27:00, 21570, 450, Sleep stage 2, 
27-9月-1994, 05:34:30, 22020, 90, Sleep stage R, 
27-9月-1994, 05:36:00, 22110, 30, Sleep stage 1, 
27-9月-1994, 05:36:30, 22140, 60, Sleep stage 2, 
27-9月-1994, 05:37:30, 22200, 60, Sleep stage W, 
27-9月-1994, 05:38:30, 22260, 60, Sleep stage 1, 
27-9月-1994, 05:39:30, 22320, 660, Sleep stage 2, 
27-9月-1994, 05:50:30, 22980, 30, Sleep stage 1, 
27-9月-1994, 05:51:00, 23010, 330, Sleep stage 2, 
27-9月-1994, 05:56:30, 23340, 30, Sleep stage 1, 
27-9月-1994, 05:57:00, 23370, 330, Sleep stage 2, 
27-9月-1994, 06:02:30, 23700, 30, Sleep stage 3, 
27-9月-1994, 06:03:00, 23730, 210, Sleep stage 2, 
27-9月-1994, 06:06:30, 23940, 60, Sleep stage 3, 
27-9月-1994, 06:07:30, 24000, 90, Sleep stage 2, 
27-9月-1994, 06:09:00, 24090, 30, Sleep stage 3, 
27-9月-1994, 06:09:30, 24120, 60, Sleep stage 2, 
27-9月-1994, 06:10:30, 24180, 30, Sleep stage 3, 
27-9月-1994, 06:11:00, 24210, 30, Sleep stage 2, 
27-9月-1994, 06:11:30, 24240, 90, Sleep stage 3, 
27-9月-1994, 06:13:00, 24330, 30, Sleep stage 2, 
27-9月-1994, 06:13:30, 24360, 180, Sleep stage 3, 
27-9月-1994, 06:16:30, 24540, 30, Sleep stage 1, 
27-9月-1994, 06:17:00, 24570, 360, Sleep stage 2, 
27-9月-1994, 06:23:00, 24930, 30, Sleep stage W, 
27-9月-1994, 06:23:30, 24960, 30, Sleep stage 1, 
27-9月-1994, 06:24:00, 24990, 60, Sleep stage 2, 
27-9月-1994, 06:25:00, 25050, 870, Sleep stage R, 
27-9月-1994, 06:39:30, 25920, 120, Sleep stage 1, 
27-9月-1994, 06:41:30, 26040, 300, Sleep stage R, 
27-9月-1994, 06:46:30, 26340, 300, Sleep stage 1, 
27-9月-1994, 06:51:30, 26640, 540, Sleep stage 2, 
27-9月-1994, 07:00:30, 27180, 30, Sleep stage 1, 
27-9月-1994, 07:01:00, 27210, 270, Sleep stage 2, 
27-9月-1994, 07:05:30, 27480, 150, Sleep stage W, 
27-9月-1994, 07:08:00, 27630, 90, Sleep stage 1, 
27-9月-1994, 07:09:30, 27720, 600, Sleep stage W, 
